Date,Open,High,Low,Close,Adj Close,Volume
2001-07-09,119.489998,120.540001,119.199997,119.699997,78.270317,8339300
2001-07-10,120.290001,120.639999,118.209999,118.260002,77.328743,8630700
2001-07-11,118.099998,118.889999,117.089996,118.379997,77.407204,15328600
2001-07-12,119.500000,121.470001,119.309998,121.190002,79.244606,12002800
2001-07-13,120.839996,122.320000,120.620003,122.239998,79.931190,10433800
2001-07-16,121.769997,122.279999,120.290001,120.709999,78.930740,6915300
2001-07-17,120.199997,121.949997,119.830002,121.839996,79.669655,7469800
2001-07-18,120.559998,121.639999,120.059998,121.010002,79.126884,7709300
2001-07-19,122.180000,122.980003,120.760002,122.070000,79.820023,10082900
2001-07-20,121.150002,121.940002,120.919998,121.339996,79.342667,6705800
2001-07-23,121.800003,121.879997,118.949997,118.949997,77.779884,8065200
2001-07-24,119.000000,119.199997,116.750000,117.800003,77.027939,12269000
2001-07-25,117.919998,119.480003,117.459999,119.099998,77.878014,12088500
2001-07-26,119.059998,120.849998,118.559998,120.349998,78.695374,12898200
2001-07-27,120.830002,121.349998,119.910004,120.809998,78.996132,8478800
2001-07-30,121.190002,121.349998,120.300003,120.849998,79.022270,8547700
2001-07-31,121.000000,122.680000,120.800003,121.349998,79.349266,11918100
2001-08-01,121.970001,122.699997,121.550003,122.110001,79.846184,11940800
2001-08-02,123.230003,123.250000,121.889999,122.610001,80.173149,11070100
2001-08-03,122.360001,122.360001,120.900002,121.940002,79.735031,10816300
2001-08-06,121.349998,121.510002,120.099998,120.300003,78.662651,8550100
2001-08-07,120.269997,121.199997,119.910004,120.769997,78.969978,8865100
2001-08-08,120.120003,121.160004,118.430000,118.529999,77.505257,15183800
2001-08-09,118.699997,118.970001,117.860001,118.879997,77.734123,14118500
2001-08-10,118.800003,119.839996,117.339996,119.290001,78.002251,11173300
2001-08-13,119.599998,119.849998,118.809998,119.320000,78.021843,7431600
2001-08-14,120.139999,120.349998,118.800003,119.269997,77.989143,13178100
2001-08-15,119.230003,119.610001,118.080002,118.239998,77.315636,8520600
2001-08-16,117.800003,118.750000,117.000000,118.650002,77.583733,10734700
2001-08-17,117.650002,117.870003,116.010002,116.750000,76.341347,11604600
2001-08-20,116.800003,117.900002,116.550003,117.830002,77.047562,10417400
2001-08-21,117.800003,118.540001,115.800003,115.820000,75.733246,14480800
2001-08-22,116.750000,117.430000,115.779999,117.019997,76.517891,11752300
2001-08-23,116.959999,117.519997,116.489998,116.599998,76.243279,8744100
2001-08-24,117.209999,119.129997,116.739998,119.019997,77.825684,11687700
2001-08-27,118.970001,119.199997,118.260002,118.309998,77.361412,7425100
2001-08-28,118.279999,118.489998,116.580002,116.580002,76.230194,12046600
2001-08-29,117.129997,117.180000,115.169998,115.540001,75.550125,16180000
2001-08-30,114.849998,115.739998,112.040001,113.320000,74.098511,17692600
2001-08-31,113.400002,114.769997,113.129997,114.150002,74.641251,15985400
2001-09-04,113.849998,116.169998,113.370003,113.419998,74.163925,24473400
2001-09-05,113.699997,114.190002,111.949997,113.699997,74.346931,21477100
2001-09-06,112.650002,113.300003,110.769997,110.769997,72.431099,21653000
2001-09-07,110.019997,111.250000,108.629997,108.720001,71.090622,33133900
2001-09-10,107.699997,110.349998,107.699997,110.050003,71.960335,23408700
2001-09-17,101.000000,106.400002,100.000000,104.300003,68.200439,32388700
2001-09-18,104.330002,105.300003,103.360001,104.050003,68.036987,22029200
2001-09-19,104.099998,104.500000,98.559998,101.949997,66.663818,42771800
2001-09-20,100.400002,101.809998,98.559998,98.709999,64.545265,36210900
2001-09-21,94.279999,98.989998,93.800003,97.279999,63.848866,49782100
2001-09-24,99.720001,101.160004,99.059998,100.699997,66.093529,25549600
2001-09-25,100.750000,102.000000,99.900002,101.750000,66.782692,25466200
2001-09-26,102.349998,102.400002,100.430000,101.389999,66.546410,18587500
2001-09-27,101.250000,102.290001,100.000000,102.269997,67.123993,20536800
2001-09-28,102.980003,109.620003,102.500000,104.440002,68.548264,21687200
2001-10-01,103.900002,104.320000,102.830002,104.269997,68.436653,20457400
2001-10-02,104.000000,105.580002,103.650002,105.580002,69.296478,19833100
2001-10-03,104.599998,107.879997,104.349998,107.349998,70.458206,32045800
2001-10-04,108.290001,108.970001,106.750000,107.440002,70.517258,32674100
2001-10-05,107.250000,107.620003,105.519997,107.230003,70.379448,29796100
2001-10-08,106.269997,107.300003,105.870003,106.529999,69.919998,12970300
2001-10-09,106.610001,106.750000,105.599998,105.959999,69.545876,15976300
2001-10-10,105.800003,108.550003,105.519997,108.320000,71.094856,19987400
2001-10-11,108.949997,110.300003,108.949997,110.000000,72.197525,23006300
2001-10-12,109.150002,109.889999,107.300003,109.500000,71.869316,31360500
2001-10-15,108.629997,109.449997,108.059998,109.300003,71.738060,16873000
2001-10-16,109.800003,110.610001,108.949997,109.989998,72.190941,15877100
2001-10-17,111.070000,111.150002,107.650002,107.650002,70.655121,28542300
2001-10-18,107.820000,108.160004,106.750000,107.419998,70.504181,16510000
2001-10-19,107.000000,107.910004,106.010002,107.349998,70.458206,21912500
2001-10-22,107.300003,109.570000,107.209999,109.470001,71.849640,17540600
2001-10-23,109.959999,110.279999,108.379997,108.910004,71.482117,22062500
2001-10-24,108.980003,109.449997,108.220001,108.620003,71.291748,16065200
2001-10-25,107.449997,110.599998,106.739998,110.570000,72.571609,27467900
2001-10-26,109.949997,111.790001,109.669998,110.320000,72.407547,18623300
2001-10-29,110.160004,110.550003,107.449997,107.449997,70.523842,18727500
2001-10-30,107.349998,107.699997,105.559998,106.160004,69.677177,26178600
2001-10-31,106.900002,107.860001,105.800003,105.800003,69.440872,28124200
2001-11-01,106.599998,109.010002,105.699997,108.510002,71.219566,29806800
2001-11-02,108.440002,109.379997,107.870003,109.250000,71.705238,17575900
2001-11-05,110.120003,111.089996,109.949997,110.680000,72.643837,15929500
2001-11-06,110.349998,112.480003,109.849998,112.400002,73.772751,23245800
2001-11-07,111.769997,113.120003,111.639999,112.250000,73.674309,19716000
2001-11-08,112.870003,114.080002,111.900002,112.599998,73.903976,22563500
2001-11-09,112.250000,112.959999,111.440002,112.720001,73.982765,15895800
2001-11-12,111.000000,112.650002,110.000000,112.029999,73.529892,26068800
2001-11-13,113.440002,114.550003,113.180000,114.550003,75.183868,15296200
2001-11-14,115.169998,115.400002,113.709999,114.660004,75.256065,17571300
2001-11-15,114.370003,115.180000,113.930000,114.870003,75.393890,19470200
2001-11-16,115.080002,115.099998,113.400002,114.360001,75.059143,18134900
2001-11-19,114.919998,115.849998,114.449997,115.769997,75.984604,13625400
2001-11-20,115.370003,115.800003,114.639999,114.800003,75.347939,16209700
2001-11-21,114.500000,114.669998,113.510002,114.040001,74.849121,11470200
2001-11-23,114.040001,115.750000,114.000000,115.680000,75.925522,6717100
2001-11-26,115.750000,116.339996,115.070000,115.930000,76.089600,13726000
2001-11-27,115.620003,116.900002,114.089996,115.430000,75.761429,19261400
2001-11-28,114.739998,115.169998,113.250000,113.339996,74.389679,20195500
2001-11-29,113.660004,114.919998,113.000000,114.870003,75.393890,16354700
