Date,Open,High,Low,Close,Adj Close,Volume
2001-12-03,113.650002,114.080002,113.010002,113.370003,74.409370,15220400
2001-12-04,113.919998,115.300003,113.349998,115.290001,75.669533,17239900
2001-12-05,115.610001,118.000000,115.559998,117.400002,77.054443,25204000
2001-12-06,117.339996,117.940002,116.930000,117.339996,77.015053,17972900
2001-12-07,116.900002,117.089996,115.699997,116.559998,76.503120,18857800
2001-12-10,115.849998,116.389999,114.349998,114.379997,75.072289,13862700
2001-12-11,114.900002,115.720001,113.900002,114.150002,74.921333,20833300
2001-12-12,114.550003,114.779999,113.110001,114.279999,75.006622,16171500
2001-12-13,113.449997,113.699997,112.040001,112.059998,73.549561,19026700
2001-12-14,112.330002,113.489998,112.000000,113.129997,74.251854,16721900
2001-12-17,112.989998,114.360001,112.900002,114.300003,75.019760,13925900
2001-12-18,114.629997,115.150002,114.339996,114.980003,75.466103,13663700
2001-12-19,114.089996,115.919998,114.000000,115.790001,75.997704,20143400
2001-12-20,115.500000,115.800003,114.550003,114.650002,75.249481,14867900
2001-12-21,115.029999,115.070000,114.199997,114.949997,75.705879,14037700
2001-12-24,114.830002,115.040001,114.610001,114.730003,75.561005,5728800
2001-12-26,114.650002,116.209999,114.650002,115.360001,75.975914,10304800
2001-12-27,115.300003,116.080002,115.250000,116.059998,76.436935,9407300
2001-12-28,116.290001,116.750000,115.919998,116.000000,76.397423,10593800
2001-12-31,116.150002,116.389999,114.230003,114.300003,75.277802,14619500
2002-01-02,115.110001,115.750000,113.809998,115.529999,76.087875,18651900
2002-01-03,115.650002,116.949997,115.540001,116.839996,76.950653,15743000
2002-01-04,117.169998,117.980003,116.550003,117.620003,77.464355,20140700
2002-01-07,117.699997,117.989998,116.559998,116.790001,76.917732,13106500
2002-01-08,116.790001,117.059998,115.970001,116.519997,76.739883,12683700
2002-01-09,116.680000,117.779999,115.339996,115.570000,76.114204,16610300
2002-01-10,115.690002,116.349998,115.300003,116.080002,76.450104,12823400
2002-01-11,116.209999,116.279999,114.699997,114.940002,75.699287,13708400
2002-01-14,114.650002,114.839996,113.959999,114.220001,75.225128,12301100
2002-01-15,114.550003,115.389999,113.900002,115.150002,75.837639,20219900
2002-01-16,114.300003,114.400002,112.690002,112.820000,74.303101,17067000
2002-01-17,113.760002,114.239998,113.400002,113.669998,74.862877,17283400
2002-01-18,113.000000,113.849998,112.669998,113.150002,74.520409,17028000
2002-01-22,113.750000,113.930000,112.019997,112.370003,74.006721,11689300
2002-01-23,112.629997,113.550003,112.019997,113.230003,74.573090,12438900
2002-01-24,113.639999,114.250000,113.320000,113.580002,74.803642,12142800
2002-01-25,113.120003,114.180000,113.040001,113.550003,74.783882,12810700
2002-01-28,113.900002,114.190002,112.919998,113.860001,74.988029,10589200
2002-01-29,113.849998,114.129997,110.050003,110.279999,72.630257,27720800
2002-01-30,110.389999,113.389999,108.400002,111.870003,73.677422,34711800
2002-01-31,112.150002,113.300003,111.620003,113.180000,74.540199,19909200
2002-02-01,113.089996,113.300003,112.169998,112.650002,74.191139,15838500
2002-02-04,112.230003,112.230003,109.440002,109.849998,72.347046,24243400
2002-02-05,109.400002,110.489998,108.529999,109.169998,71.899193,33614000
2002-02-06,109.650002,109.739998,108.059998,108.699997,71.589691,29486000
2002-02-07,108.720001,109.860001,108.000000,108.019997,71.141808,23445400
2002-02-08,108.629997,110.750000,108.300003,110.089996,72.505142,19277800
2002-02-11,110.050003,111.639999,109.820000,111.440002,73.394203,18792400
2002-02-12,110.959999,111.709999,110.029999,111.089996,73.163734,13942500
2002-02-13,111.480003,112.540001,111.349998,112.269997,73.940842,16781100
2002-02-14,112.510002,112.970001,111.589996,112.059998,73.802574,20453800
2002-02-15,112.150002,112.239998,110.709999,110.889999,73.031990,18366800
2002-02-19,110.150002,110.290001,108.610001,108.760002,71.629166,15988100
2002-02-20,109.050003,110.589996,107.820000,110.589996,72.834427,29242800
2002-02-21,109.930000,110.629997,108.260002,108.300003,71.326233,26288600
2002-02-22,108.349998,109.940002,107.870003,109.639999,72.208755,26572900
2002-02-25,109.739998,111.809998,109.699997,111.449997,73.400833,17458700
2002-02-26,111.599998,112.040001,110.570000,111.220001,73.249344,22346500
2002-02-27,111.959999,112.860001,110.650002,111.650002,73.532532,28597900
2002-02-28,111.830002,112.750000,111.029999,111.150002,73.203239,23755400
2002-03-01,111.720001,113.849998,111.510002,113.739998,74.908974,26273600
